Id	Word	Percentage Known	Prevalence	N	Length	Coltheart's N	OLD20	Relative Frequency	Zipf	Relative Contextual Diversity	Logarithm Contextual Diversity
30015	pistolera	0.95	1.60	413	9	1	2.50	0.18	2.26	475.39	2.68
30191	plasmació	0.87	1.11	383	9	0	2.90	0.18	2.25	582.36	2.77
30345	pluviometria	0.97	1.87	422	12	0	3.80	0.18	2.26	534.82	2.73
30347	pluviositat	0.88	1.14	404	11	0	3.65	0.18	2.25	451.62	2.66
30355	pneumotòrax	0.92	1.37	428	11	0	4.50	0.18	2.25	427.85	2.63
30480	poligonal	0.97	1.77	413	9	0	2.85	0.18	2.25	297.12	2.47
30529	polivalència	0.99	2.13	422	12	0	4.45	0.18	2.26	582.36	2.77
30825	postmodern	0.97	1.84	425	10	0	3.55	0.18	2.26	546.70	2.74
31014	pregon	0.42	-0.19	390	6	1	1.75	0.18	2.25	475.39	2.68
31353	pròfug	0.95	1.58	422	6	0	2.65	0.18	2.25	427.85	2.63
31552	pròteles	0.12	-1.14	415	8	0	2.75	0.18	2.26	118.85	2.08
31581	provador	0.93	1.48	429	8	1	1.85	0.18	2.26	570.47	2.76
31790	puntaire	0.97	1.83	411	8	0	2.60	0.18	2.25	320.89	2.51
32045	quica	0.78	0.76	430	5	5	1.65	0.18	2.25	404.08	2.61
32354	ranera	0.65	0.38	394	6	12	1.30	0.18	2.25	439.74	2.64
32613	rebrotar	0.99	2.26	422	8	1	1.80	0.18	2.25	570.47	2.76
33045	regatista	0.94	1.55	408	9	0	2.70	0.18	2.25	475.39	2.68
33168	rejoveniment	0.94	1.55	408	12	0	3.20	0.18	2.26	499.16	2.70
33329	renard	0.49	-0.04	414	6	2	1.90	0.18	2.26	332.78	2.52
33487	replicador	0.97	1.78	400	10	0	2.45	0.18	2.25	309.01	2.49
33537	reprovable	0.98	1.97	453	10	0	2.60	0.18	2.25	499.16	2.70
33562	repuntar	0.97	1.85	439	8	4	1.65	0.18	2.25	546.70	2.74
33848	reunificar	0.99	2.06	403	10	1	2.30	0.18	2.25	558.59	2.75
34258	rosegada	0.96	1.66	414	8	1	1.95	0.18	2.26	534.82	2.73
34271	rosquilla	0.59	0.23	403	9	0	2.60	0.18	2.25	404.08	2.61
34303	rostoll	0.91	1.30	410	7	2	1.80	0.18	2.25	475.39	2.68
34358	rubidi	0.48	-0.04	411	6	0	2.20	0.18	2.25	558.59	2.75
34391	rúfol	0.83	0.95	421	5	1	1.85	0.18	2.25	463.51	2.67
34559	sadisme	0.96	1.71	435	7	0	2.05	0.18	2.26	594.24	2.78
34842	sanguina	0.83	0.92	384	8	1	2.45	0.18	2.25	332.78	2.52
34909	sarda	0.72	0.58	428	5	19	1.00	0.18	2.26	427.85	2.63
34935	sarment	0.79	0.81	424	7	0	1.90	0.18	2.25	332.78	2.52
35311	senyalitzar	0.99	2.07	419	11	1	1.90	0.18	2.26	534.82	2.73
35421	serrada	0.96	1.65	400	7	6	1.65	0.18	2.25	511.05	2.71
35526	sextant	0.74	0.62	408	7	1	1.85	0.18	2.25	285.24	2.46
35645	simbomba	0.60	0.24	415	8	1	3.20	0.18	2.26	368.43	2.57
35661	simpatitzar	1.00	2.34	428	11	1	2.00	0.18	2.26	582.36	2.77
35687	sinapsi	0.78	0.75	418	7	1	2.65	0.18	2.25	213.93	2.33
35695	síncope	0.90	1.27	437	7	0	2.90	0.18	2.26	415.97	2.62
36261	sostreure	0.95	1.63	444	9	1	2.60	0.18	2.25	582.36	2.77
36506	sudari	0.78	0.75	411	6	2	1.85	0.18	2.25	451.62	2.66
36616	superlatiu	1.00	2.44	431	10	0	3.20	0.18	2.25	558.59	2.75
36845	tallarol	0.45	-0.12	429	8	1	2.05	0.18	2.26	285.24	2.46
36968	tapet	0.87	1.10	417	5	8	1.45	0.18	2.26	463.51	2.67
37046	tartà	0.64	0.34	426	5	4	1.60	0.18	2.25	332.78	2.52
37114	tauromàquia	0.98	1.91	434	11	0	4.35	0.18	2.25	415.97	2.62
37305	templet	0.80	0.83	413	7	4	1.70	0.18	2.26	344.66	2.54
37439	tereseta	0.70	0.51	407	8	0	2.35	0.18	2.25	297.12	2.47
37600	tetina	0.89	1.22	418	6	4	1.80	0.18	2.25	487.28	2.69
37753	tirabec	0.76	0.70	421	7	0	2.15	0.18	2.26	237.70	2.38
37793	tiroliro	0.67	0.44	418	8	1	3.05	0.18	2.26	202.04	2.31
38089	tosa	0.53	0.08	402	4	27	1.00	0.18	2.25	415.97	2.62
38426	tremoleda	0.60	0.25	402	9	1	2.40	0.18	2.25	106.96	2.03
39045	ultradretà	0.99	2.19	422	10	1	3.55	0.18	2.25	546.70	2.74
39056	ultrasònic	1.00	2.44	441	10	0	3.50	0.18	2.25	522.93	2.72
39355	vàndal	0.97	1.78	430	6	1	2.00	0.18	2.26	309.01	2.49
39685	veronal	0.30	-0.52	416	7	0	1.90	0.18	2.25	368.43	2.57
39896	vilanoví	0.93	1.46	415	8	1	3.00	0.18	2.25	415.97	2.62
39939	vínic	0.46	-0.11	416	5	2	1.80	0.18	2.25	71.31	1.86
39973	violentar	0.99	2.26	431	9	1	1.95	0.18	2.25	546.70	2.74
40207	voluntarisme	0.89	1.20	404	12	0	3.30	0.18	2.26	582.36	2.77
40260	vulcanòleg	0.94	1.50	385	10	0	3.95	0.18	2.26	475.39	2.68
40269	vulnerant	0.97	1.82	442	9	0	2.45	0.18	2.25	570.47	2.76
40302	xacolí	0.86	1.08	413	6	1	2.00	0.18	2.25	178.27	2.25
40309	xafar	0.93	1.43	420	5	8	1.50	0.18	2.25	546.70	2.74
40334	xalat	0.91	1.33	407	5	12	1.15	0.18	2.25	511.05	2.71
40389	xapat	0.92	1.40	435	5	13	1.15	0.18	2.26	487.28	2.69
40538	xifrar	0.99	2.24	399	6	1	1.90	0.18	2.26	546.70	2.74
40547	xíling	0.54	0.11	412	6	1	2.30	0.18	2.26	427.85	2.63
40682	xumar	0.85	1.03	414	5	5	1.65	0.18	2.25	475.39	2.68
40699	xutador	0.87	1.09	432	7	1	1.90	0.18	2.26	427.85	2.63
224	abusador	0.95	1.57	429	8	1	1.80	0.17	2.22	380.31	2.58
368	acoblant	0.57	0.19	397	8	0	1.95	0.17	2.22	463.51	2.67
665	adroguer	0.76	0.69	457	8	0	2.35	0.17	2.22	404.08	2.61
674	adúlter	0.97	1.78	400	7	1	2.45	0.17	2.23	487.28	2.69
953	aglutinador	0.98	2.05	451	11	0	2.70	0.17	2.22	546.70	2.74
1049	aguditzar	0.97	1.83	445	9	1	1.85	0.17	2.23	546.70	2.74
1063	agulleta	0.90	1.25	406	8	1	2.10	0.17	2.24	415.97	2.62
1227	al·luvial	0.67	0.43	417	9	0	2.80	0.17	2.24	475.39	2.68
1442	algutzir	0.47	-0.08	386	8	0	3.35	0.17	2.22	332.78	2.52
1529	allisada	0.96	1.70	401	8	1	1.90	0.17	2.22	546.70	2.74
1604	alsacià	0.93	1.44	427	7	0	2.80	0.17	2.23	415.97	2.62
1618	altercat	0.80	0.83	431	8	1	2.00	0.17	2.23	511.05	2.71
1713	amarant	0.82	0.92	431	7	4	1.60	0.17	2.23	451.62	2.66
1726	amargós	0.83	0.92	429	7	1	1.85	0.17	2.23	368.43	2.57
1763	ambidextre	0.87	1.11	418	10	1	3.60	0.17	2.22	404.08	2.61
1911	amorositat	0.93	1.44	423	10	0	2.30	0.17	2.22	534.82	2.73
1912	amorrar	0.93	1.43	419	7	2	1.70	0.17	2.24	511.05	2.71
1921	amortització	1.00	2.33	411	12	0	2.95	0.17	2.22	427.85	2.63
2080	anèmic	0.99	2.25	409	6	2	1.80	0.17	2.23	463.51	2.67
2081	anemòmetre	0.86	1.07	402	10	0	2.90	0.17	2.23	309.01	2.49
2302	anticipant	0.96	1.71	407	10	0	2.40	0.17	2.23	522.93	2.72
2744	aquós	0.93	1.45	405	5	1	1.95	0.17	2.22	499.16	2.70
2889	argolla	0.94	1.51	422	7	0	2.00	0.17	2.24	463.51	2.67
2941	armer	0.88	1.16	417	5	9	1.25	0.17	2.23	344.66	2.54
2970	arpelles	0.58	0.20	419	8	1	1.85	0.17	2.24	261.47	2.42
3095	arribista	0.59	0.23	400	9	0	2.75	0.17	2.24	475.39	2.68
3353	assembleari	0.94	1.50	417	11	0	2.60	0.17	2.23	511.05	2.71
3380	assíduament	0.97	1.79	401	11	0	3.55	0.17	2.24	558.59	2.75
3406	assoliment	0.99	2.06	406	10	0	2.55	0.17	2.23	546.70	2.74
3505	atàxia	0.68	0.45	405	6	1	1.90	0.17	2.24	237.70	2.38
3507	ateisme	0.93	1.45	378	7	0	2.25	0.17	2.22	487.28	2.69
3839	avantcambra	0.93	1.46	414	11	0	4.45	0.17	2.24	463.51	2.67
3859	avariar	0.88	1.15	419	7	2	1.75	0.17	2.22	511.05	2.71
4015	bàcul	0.79	0.78	438	5	1	1.90	0.17	2.22	368.43	2.57
4083	baixador	0.98	1.90	420	8	1	1.85	0.17	2.24	344.66	2.54
4111	balalaica	0.78	0.75	415	9	0	3.00	0.17	2.23	297.12	2.47
4235	bancal	0.84	1.00	412	6	1	1.75	0.17	2.23	356.54	2.55
4297	baptismal	0.94	1.49	420	9	0	3.20	0.17	2.24	487.28	2.69
4366	bard	0.57	0.16	391	4	19	1.00	0.17	2.24	427.85	2.63
4486	basal	0.87	1.11	422	5	8	1.35	0.17	2.23	415.97	2.62
4592	bàtik	0.20	-0.81	415	5	0	1.95	0.17	2.24	95.08	1.98
4630	bauxita	0.61	0.27	413	7	0	2.55	0.17	2.22	225.81	2.36
4698	bel·licós	0.92	1.36	424	9	0	3.25	0.17	2.24	475.39	2.68
4795	berena	0.80	0.82	424	6	3	1.60	0.17	2.23	534.82	2.73
4859	bestialitat	0.99	2.06	407	11	0	2.85	0.17	2.24	534.82	2.73
5096	bitó	0.30	-0.53	427	4	14	1.20	0.17	2.24	380.31	2.58
5346	bombí	0.98	1.98	415	5	5	1.70	0.17	2.23	368.43	2.57
5354	bombonera	0.96	1.68	408	9	0	2.50	0.17	2.22	356.54	2.55
5550	botifarrada	1.00	2.44	419	11	0	3.20	0.17	2.22	487.28	2.69
5822	bronzejar	0.97	1.87	424	9	1	2.10	0.17	2.22	463.51	2.67
6110	cabasset	0.93	1.48	414	8	2	1.85	0.17	2.23	404.08	2.61
6195	cacofonia	0.90	1.27	417	9	0	2.80	0.17	2.22	463.51	2.67
6270	cagarel·la	0.88	1.14	453	10	0	2.80	0.17	2.23	427.85	2.63
6324	calafat	0.86	1.06	421	7	1	1.70	0.17	2.22	368.43	2.57
6457	calima	0.70	0.53	419	6	5	1.60	0.17	2.23	178.27	2.25
6502	calumniar	0.96	1.75	424	9	1	2.00	0.17	2.22	534.82	2.73
6566	cameta	0.96	1.67	439	6	8	1.60	0.17	2.23	475.39	2.68
6626	camussa	0.55	0.13	407	7	1	1.95	0.17	2.24	392.20	2.60
6669	cancerós	0.94	1.56	415	8	0	2.45	0.17	2.24	522.93	2.72
6740	canonització	0.98	1.95	428	12	0	2.80	0.17	2.24	380.31	2.58
7086	caravel·la	0.98	2.01	406	10	0	2.60	0.17	2.24	392.20	2.60
7361	cartògraf	0.99	2.26	425	9	0	2.50	0.17	2.23	499.16	2.70
7513	catalogació	0.96	1.70	399	11	0	2.95	0.17	2.24	511.05	2.71
7727	celestina	0.90	1.29	451	9	1	2.60	0.17	2.23	463.51	2.67
7813	centrifugar	0.99	2.26	436	11	1	2.25	0.17	2.23	499.16	2.70
7917	cérvola	0.82	0.89	403	7	1	2.40	0.17	2.22	225.81	2.36
8092	circumcidar	0.98	1.94	417	11	1	2.45	0.17	2.22	415.97	2.62
8094	circumdant	0.94	1.54	415	10	0	2.75	0.17	2.23	522.93	2.72
8115	cirrus	0.74	0.63	411	6	1	1.90	0.17	2.23	463.51	2.67
8940	complaença	0.98	1.98	415	10	0	2.85	0.17	2.24	534.82	2.73
9115	concordat	0.98	1.90	416	9	1	1.80	0.17	2.24	392.20	2.60
9165	condonar	0.86	1.05	401	8	1	1.90	0.17	2.22	404.08	2.61
9257	confronta	0.93	1.48	411	9	2	1.75	0.17	2.23	558.59	2.75
9275	congeniar	0.98	2.01	401	9	2	2.00	0.17	2.23	546.70	2.74
9276	congènit	0.99	2.12	417	8	0	2.60	0.17	2.23	475.39	2.68
9592	contradient	0.92	1.39	413	11	0	2.45	0.17	2.22	546.70	2.74
9618	contrapeu	0.97	1.77	413	9	1	1.90	0.17	2.22	522.93	2.72
9701	convicte	0.98	1.96	401	8	1	2.30	0.17	2.24	522.93	2.72
9767	coproductor	0.97	1.86	416	11	0	2.90	0.17	2.22	475.39	2.68
9879	cornac	0.17	-0.93	409	6	4	1.70	0.17	2.22	178.27	2.25
10090	costejar	0.95	1.60	419	8	3	1.75	0.17	2.22	534.82	2.73
10126	cotonera	0.95	1.60	442	8	3	1.80	0.17	2.23	392.20	2.60
10166	cranca	0.32	-0.47	438	6	3	1.60	0.17	2.24	154.50	2.19
10357	críticament	0.99	2.18	419	11	0	2.65	0.17	2.22	475.39	2.68
10554	culgròs	0.89	1.21	412	7	0	2.80	0.17	2.22	380.31	2.58
10890	decomís	0.87	1.12	417	7	0	2.50	0.17	2.23	392.20	2.60
10934	defendre	0.76	0.71	397	8	2	2.00	0.17	2.22	451.62	2.66
11385	desassossec	0.93	1.44	422	11	0	3.75	0.17	2.24	522.93	2.72
11431	desbrossar	0.96	1.75	448	10	2	1.80	0.17	2.22	522.93	2.72
11459	descàrrec	0.94	1.54	415	9	0	2.50	0.17	2.24	475.39	2.68
11482	desclosa	0.82	0.89	431	8	1	1.95	0.17	2.22	404.08	2.61
11658	desenrotllar	0.93	1.42	458	12	1	2.00	0.17	2.22	487.28	2.69
11695	desfasar	0.86	1.05	418	8	2	1.85	0.17	2.23	511.05	2.71
11956	despoblació	0.98	1.93	411	11	0	2.90	0.17	2.22	511.05	2.71
11959	despoblat	0.99	2.27	441	9	2	1.75	0.17	2.22	499.16	2.70
12141	deuteri	0.65	0.38	427	7	0	2.05	0.17	2.22	237.70	2.38
12360	dilapidar	0.94	1.53	410	9	1	2.20	0.17	2.22	487.28	2.69
12651	dissuasiu	0.95	1.64	411	9	2	2.45	0.17	2.24	570.47	2.76
12767	docilitat	0.94	1.50	430	9	0	2.60	0.17	2.23	439.74	2.64
12776	doctrinal	0.97	1.78	427	9	0	2.55	0.17	2.23	439.74	2.64
13031	dull	0.20	-0.82	389	4	14	1.20	0.17	2.22	487.28	2.69
13065	durícia	0.98	1.94	417	7	0	2.50	0.17	2.24	463.51	2.67
13112	economitzar	0.99	2.18	415	11	1	2.60	0.17	2.23	463.51	2.67
13191	efusiu	0.98	2.03	424	6	2	1.95	0.17	2.24	463.51	2.67
13221	eia	0.08	-1.37	392	3	24	1.00	0.17	2.24	368.43	2.57
13240	eixamplament	0.96	1.66	408	12	0	3.35	0.17	2.22	463.51	2.67
13350	elegia	0.75	0.66	394	6	6	1.65	0.17	2.24	522.93	2.72
13529	embriagador	0.96	1.66	429	11	0	2.80	0.17	2.24	522.93	2.72
13552	embull	0.67	0.43	423	6	1	1.85	0.17	2.24	451.62	2.66
13598	emmascara	0.96	1.65	400	9	2	1.80	0.17	2.22	511.05	2.71
13651	empaperat	0.99	2.26	424	9	1	1.80	0.17	2.23	522.93	2.72
13678	empàtic	1.00	2.58	435	7	2	1.80	0.17	2.24	499.16	2.70
13976	encolat	0.95	1.60	421	7	9	1.40	0.17	2.22	511.05	2.71
14263	engraellat	0.96	1.68	429	10	1	2.75	0.17	2.24	427.85	2.63
14368	enquadernar	1.00	2.33	413	11	1	2.10	0.17	2.22	439.74	2.64
14453	ensems	0.58	0.21	419	6	0	2.00	0.17	2.24	427.85	2.63
14542	enteresa	0.89	1.21	421	8	0	1.95	0.17	2.23	546.70	2.74
15238	escindir	0.85	1.03	419	8	3	1.80	0.17	2.22	511.05	2.71
15416	escrutar	0.96	1.74	409	8	1	1.85	0.17	2.22	475.39	2.68
15615	esoterisme	0.97	1.80	413	10	0	3.00	0.17	2.23	511.05	2.71
15846	espira	0.75	0.66	424	6	10	1.20	0.17	2.24	451.62	2.66
15848	espiracle	0.57	0.18	408	9	0	2.55	0.17	2.23	404.08	2.61
15914	esporga	0.75	0.65	413	7	2	1.75	0.17	2.23	273.35	2.44
16228	estibador	0.97	1.77	440	9	2	2.05	0.17	2.23	439.74	2.64
16526	eternitzar	0.99	2.07	411	10	1	1.95	0.17	2.24	558.59	2.75
16556	etòleg	0.84	0.99	420	6	3	1.75	0.17	2.24	463.51	2.67
16956	extirpació	0.99	2.18	417	10	0	2.90	0.17	2.23	499.16	2.70
17202	fanfàrria	0.90	1.29	410	9	0	3.40	0.17	2.24	451.62	2.66
17334	fatalista	0.96	1.67	416	9	1	2.40	0.17	2.23	522.93	2.72
17359	faune	0.50	-0.01	416	5	1	1.90	0.17	2.22	368.43	2.57
17580	ferventment	0.86	1.06	447	11	0	3.35	0.17	2.23	546.70	2.74
17589	fesolet	0.96	1.66	428	7	1	1.90	0.17	2.24	261.47	2.42
17627	feudalisme	1.00	2.43	386	10	0	2.95	0.17	2.22	534.82	2.73
17711	filada	0.95	1.59	408	6	6	1.45	0.17	2.24	344.66	2.54
17968	flegma	0.54	0.10	402	6	2	1.85	0.17	2.23	475.39	2.68
17972	flequer	0.92	1.38	424	7	2	2.10	0.17	2.24	439.74	2.64
18094	fogoner	0.97	1.80	414	7	3	1.85	0.17	2.23	356.54	2.55
18305	fornejar	0.99	2.07	411	8	5	1.70	0.17	2.24	511.05	2.71
18696	fulminar	0.99	2.18	407	8	2	1.75	0.17	2.24	558.59	2.75
18811	fustigar	0.96	1.72	419	8	1	1.95	0.17	2.23	499.16	2.70
19099	garita	0.73	0.60	398	6	2	1.80	0.17	2.23	439.74	2.64
19109	garneu	0.28	-0.57	406	6	1	1.85	0.17	2.24	106.96	2.03
19331	generalíssim	0.98	2.03	422	12	0	3.65	0.17	2.24	404.08	2.61
19432	geriatria	0.98	1.99	431	9	0	2.65	0.17	2.24	404.08	2.61
19650	glosa	0.78	0.75	437	5	4	1.50	0.17	2.24	273.35	2.44
19880	granats	0.92	1.37	440	7	5	1.70	0.17	2.24	356.54	2.55
20058	grimpador	0.90	1.26	421	9	0	2.55	0.17	2.22	356.54	2.55
20131	gruista	0.67	0.44	436	7	0	1.95	0.17	2.23	309.01	2.49
20265	guinarda	0.54	0.10	450	8	1	1.90	0.17	2.22	106.96	2.03
20460	hematòcrit	0.83	0.95	387	10	0	3.70	0.17	2.22	332.78	2.52
20501	hepàtic	0.98	1.89	410	7	1	2.20	0.17	2.23	380.31	2.58
20661	hidroplà	0.87	1.13	415	8	0	3.30	0.17	2.23	320.89	2.51
20728	hipertext	0.89	1.19	412	9	0	3.65	0.17	2.24	392.20	2.60
20746	hipocràtic	0.94	1.54	432	10	0	3.10	0.17	2.23	522.93	2.72
20917	horroritzar	0.99	2.13	426	11	1	1.95	0.17	2.22	546.70	2.74
20999	hutu	0.42	-0.20	391	4	1	1.90	0.17	2.22	237.70	2.38
21053	ídem	0.95	1.64	412	4	1	1.90	0.17	2.23	511.05	2.71
21194	immenjable	0.89	1.19	423	10	0	3.10	0.17	2.24	558.59	2.75
21389	impulsivitat	0.97	1.82	402	12	0	4.15	0.17	2.23	368.43	2.57
21541	incontenible	0.95	1.63	428	12	0	3.35	0.17	2.24	558.59	2.75
21631	indican	0.28	-0.58	400	7	3	1.75	0.17	2.23	522.93	2.72
21685	indolor	0.95	1.63	422	7	1	2.20	0.17	2.24	404.08	2.61
21909	inhibició	0.99	2.26	430	9	0	2.90	0.17	2.23	511.05	2.71
22053	insòlitament	0.97	1.77	419	12	0	3.70	0.17	2.23	522.93	2.72
22063	insospitat	0.95	1.60	416	10	0	3.00	0.17	2.24	558.59	2.75
22087	instituir	0.95	1.60	440	9	0	2.00	0.17	2.23	511.05	2.71
22108	insuls	0.90	1.28	417	6	2	1.80	0.17	2.24	511.05	2.71
22165	intercessió	0.87	1.10	408	11	0	2.70	0.17	2.22	511.05	2.71
22254	intimidador	0.98	1.93	404	11	0	2.55	0.17	2.23	546.70	2.74
22316	inutilitat	0.97	1.80	416	10	0	2.35	0.17	2.24	558.59	2.75
22340	inversament	0.96	1.68	402	11	0	2.85	0.17	2.23	511.05	2.71
22385	iola	0.12	-1.15	431	4	23	1.00	0.17	2.23	106.96	2.03
22421	irradiació	0.99	2.19	428	10	0	2.90	0.17	2.23	451.62	2.66
22542	jaco	0.08	-1.36	408	4	9	1.35	0.17	2.22	415.97	2.62
22865	lacti	0.86	1.06	445	5	5	1.65	0.17	2.24	487.28	2.69
23139	licopodi	0.28	-0.58	416	8	0	3.45	0.17	2.24	95.08	1.98
