Id	Word	Percentage Known	Prevalence	N	Length	Coltheart's N	OLD20	Relative Frequency	Zipf	Relative Contextual Diversity	Logarithm Contextual Diversity
1	àbac	0.91	1.33	423	4	2	1.75	0.60	2.78	1271.68	3.11
2	abacà	0.23	-0.73	405	5	3	1.85	0.05	1.67	47.54	1.69
3	abacial	0.27	-0.60	417	7	0	2.30	0.10	2.02	273.35	2.44
4	abadal	0.68	0.46	412	6	1	1.95	0.78	2.89	1283.56	3.11
5	abadejo	0.39	-0.29	440	7	0	2.70	0.21	2.33	320.89	2.51
6	abadessa	0.98	1.95	433	8	0	2.95	0.62	2.79	713.09	2.85
7	abadia	0.95	1.59	429	6	1	1.80	2.70	3.43	4373.61	3.64
8	abadiat	0.37	-0.34	424	7	0	2.05	0.01	0.86	23.77	1.39
9	abaixador	0.85	1.00	421	9	0	2.30	0.01	0.86	23.77	1.39
10	abaixar	0.94	1.51	411	7	2	1.70	9.99	4.00	28024.39	4.45
11	abaixat	0.90	1.23	410	7	1	1.75	2.57	3.41	7701.36	3.89
12	abalançament	0.75	0.67	437	12	0	3.25	0.01	0.86	23.77	1.39
13	abalisament	0.57	0.19	454	11	0	2.85	0.00	0.56	11.89	1.11
14	abalisar	0.49	-0.04	420	8	1	2.45	0.02	1.25	35.65	1.56
15	abalit	0.40	-0.26	420	6	2	1.90	0.01	1.03	11.89	1.11
16	abaltir	0.48	-0.04	442	7	1	1.95	0.03	1.40	71.31	1.86
17	abanderament	0.90	1.27	408	12	0	3.15	0.00	0.56	11.89	1.11
18	abanderar	0.94	1.48	416	9	1	2.30	0.08	1.92	261.47	2.42
19	abandó	0.88	1.16	429	6	0	1.95	1.36	3.13	4064.61	3.61
20	abandonament	0.98	2.01	408	12	0	2.60	1.80	3.25	5098.59	3.71
21	abandonar	0.98	2.01	398	9	1	1.75	33.66	4.53	86747.25	4.94
22	abandonat	0.99	2.33	396	9	1	1.80	19.30	4.29	53184.54	4.73
23	abans	0.99	2.17	398	5	4	1.70	750.33	5.88	725401.41	5.86
24	abaratiment	0.97	1.87	384	11	0	2.80	0.29	2.46	903.25	2.96
25	abaratir	0.97	1.82	401	8	4	1.75	0.99	2.99	2757.28	3.44
26	abaritonat	0.55	0.13	397	10	0	3.15	0.01	0.86	11.89	1.11
27	abarloar	0.23	-0.72	408	8	0	2.95	0.01	1.16	35.65	1.56
28	abarnegat	0.18	-0.90	423	9	0	2.80	0.01	1.03	23.77	1.39
29	abarrotar	0.69	0.49	430	9	2	1.95	0.02	1.25	59.42	1.78
30	abarset	0.09	-1.29	412	7	0	2.45	0.00	0.56	11.89	1.11
31	abarta	0.12	-1.15	399	6	4	1.80	0.01	0.86	11.89	1.11
32	abartrell	0.20	-0.84	408	9	0	3.00	0.00	0.56	11.89	1.11
33	abassegador	0.74	0.64	426	11	0	3.20	0.03	1.46	95.08	1.98
34	abassegar	0.72	0.58	411	9	1	2.65	0.00	0.56	11.89	1.11
35	abast	1.00	2.33	410	5	0	1.70	23.49	4.37	64261.18	4.81
36	abastable	0.87	1.10	437	9	0	2.65	0.03	1.46	95.08	1.98
37	abastament	0.94	1.53	427	10	1	1.95	0.66	2.82	1675.76	3.22
38	abastar	0.93	1.42	393	7	2	1.75	0.79	2.90	2483.93	3.40
39	abastiment	0.97	1.80	412	10	1	2.20	0.40	2.60	1176.60	3.07
40	abastir	0.95	1.64	416	7	7	1.50	0.98	2.99	2923.66	3.47
41	abat	0.93	1.47	395	4	4	1.40	3.65	3.56	5514.55	3.74
42	abatedor	0.63	0.32	420	8	0	2.70	0.01	0.86	23.77	1.39
43	abatible	0.96	1.72	415	8	0	2.55	0.05	1.67	118.85	2.08
44	abatiment	0.95	1.59	424	9	0	2.15	0.26	2.41	784.40	2.90
45	abatoll	0.36	-0.35	397	7	0	2.50	0.02	1.25	23.77	1.39
46	abatre	0.97	1.88	394	6	2	1.75	2.72	3.43	6738.69	3.83
47	abatussat	0.64	0.37	410	9	0	2.90	0.01	1.03	23.77	1.39
48	abbàssida	0.27	-0.61	423	9	0	3.85	0.02	1.25	47.54	1.69
49	abdicació	1.00	2.35	446	9	0	2.50	1.68	3.23	1960.99	3.29
50	abdicant	0.97	1.77	440	8	0	2.10	0.01	1.16	47.54	1.69
51	abdicar	0.99	2.14	436	7	1	1.75	0.90	2.96	2020.42	3.31
52	abdomen	0.99	2.20	440	7	0	2.50	3.41	3.53	7119.00	3.85
53	abdominal	0.99	2.17	400	9	0	2.80	2.41	3.38	4005.18	3.60
54	abducció	1.00	2.58	396	8	1	2.35	0.32	2.50	736.86	2.87
55	abductor	0.99	2.07	417	8	1	2.35	0.23	2.37	677.43	2.83
56	abduir	0.97	1.80	444	6	1	1.95	0.21	2.33	558.59	2.75
57	abecé	0.72	0.58	436	5	0	2.00	0.09	1.97	213.93	2.33
58	abecedari	0.98	1.92	438	9	0	3.75	0.66	2.82	1616.33	3.21
59	abell	0.25	-0.67	421	5	5	1.45	0.01	0.86	11.89	1.11
60	abella	0.98	2.01	404	6	6	1.35	11.31	4.05	14547.01	4.16
61	abellaire	0.69	0.49	414	9	0	2.65	0.01	1.03	23.77	1.39
62	abellar	0.63	0.33	418	7	5	1.70	0.01	1.16	23.77	1.39
63	abeller	0.71	0.54	435	7	4	1.70	0.05	1.73	83.19	1.93
64	abellera	0.59	0.23	398	8	1	1.80	0.09	1.95	154.50	2.19
65	abellerol	0.57	0.17	393	9	0	2.70	0.16	2.20	427.85	2.63
66	abellir	0.58	0.20	393	7	5	1.75	0.04	1.63	71.31	1.86
67	abellot	0.95	1.56	439	7	1	1.80	0.36	2.56	522.93	2.72
68	abentèric	0.13	-1.10	399	9	0	3.55	0.00	0.56	11.89	1.11
69	aberració	0.98	2.02	420	9	0	2.90	0.73	2.87	2210.58	3.35
70	aberrant	0.96	1.73	400	8	3	1.80	0.27	2.42	820.05	2.91
71	abeurada	0.80	0.81	410	8	0	1.95	0.04	1.63	59.42	1.78
72	abeurador	0.90	1.27	398	9	0	2.45	0.98	2.99	2044.19	3.31
73	abeurall	0.56	0.14	396	8	0	2.65	0.01	0.86	11.89	1.11
74	abeurament	0.79	0.80	442	10	0	2.65	0.01	1.03	35.65	1.56
75	abeurar	0.83	0.95	426	7	2	1.80	0.29	2.46	927.02	2.97
76	abeuratge	0.81	0.87	383	9	0	2.75	0.01	1.03	35.65	1.56
77	abillament	0.53	0.07	405	10	1	2.60	0.03	1.40	83.19	1.93
78	abillar	0.52	0.05	401	7	3	1.75	0.04	1.56	95.08	1.98
79	abiòtic	0.54	0.09	421	7	0	2.35	0.00	0.56	11.89	1.11
80	abís	0.30	-0.52	425	4	5	1.70	0.03	1.40	59.42	1.78
81	abismal	0.95	1.64	432	7	1	2.35	0.62	2.79	1818.38	3.26
82	abisme	0.99	2.26	429	6	2	1.85	3.50	3.54	9032.46	3.96
83	abissal	0.62	0.31	418	7	1	2.40	0.18	2.26	344.66	2.54
84	abissini	0.55	0.13	420	8	0	2.80	0.02	1.25	47.54	1.69
85	abjecció	0.75	0.68	438	8	1	2.55	0.01	1.16	47.54	1.69
86	abjecte	0.61	0.28	429	7	2	2.30	0.12	2.06	356.54	2.55
87	abjuració	0.69	0.49	423	9	1	2.75	0.01	1.03	35.65	1.56
88	abjurar	0.67	0.42	424	7	2	1.80	0.06	1.76	166.39	2.22
89	ablació	0.90	1.24	455	7	1	1.95	0.47	2.67	748.74	2.88
90	ablamar	0.26	-0.65	411	7	1	1.90	0.01	0.86	11.89	1.11
91	ablanidor	0.55	0.12	388	9	0	2.75	0.00	0.56	11.89	1.11
92	ablaniment	0.54	0.11	412	10	0	2.75	0.00	0.56	11.89	1.11
93	ablanir	0.62	0.31	429	7	2	1.90	0.01	1.16	47.54	1.69
94	ablatiu	0.70	0.51	418	7	1	2.15	0.02	1.33	47.54	1.69
95	ablució	0.59	0.23	420	7	1	2.45	0.03	1.40	71.31	1.86
96	abluent	0.15	-1.04	412	7	1	2.50	0.01	1.03	23.77	1.39
97	abnegació	0.97	1.84	427	9	0	2.80	0.16	2.21	499.16	2.70
98	abnegat	0.96	1.67	398	7	0	1.90	0.15	2.18	487.28	2.69
99	abocada	0.89	1.19	415	7	4	1.75	0.66	2.82	2139.27	3.33
100	abocador	0.99	2.18	407	8	0	2.00	5.18	3.71	10030.78	4.00
101	abocament	0.99	2.07	415	9	1	2.20	0.48	2.68	1224.14	3.09
102	abocar	0.99	2.27	450	6	5	1.60	4.87	3.69	13667.53	4.14
103	abocat	0.77	0.72	428	6	5	1.55	2.53	3.40	7772.67	3.89
104	abolible	0.78	0.77	394	8	0	2.85	0.00	0.56	11.89	1.11
105	abolició	0.99	2.07	420	8	0	2.70	0.74	2.87	2032.30	3.31
106	aboliment	0.90	1.25	433	9	0	2.50	0.01	1.16	35.65	1.56
107	abolir	0.97	1.82	407	6	4	1.70	1.02	3.01	2923.66	3.47
108	abominable	0.97	1.77	417	10	0	2.85	1.45	3.16	3375.29	3.53
109	abominació	0.97	1.76	429	10	0	2.85	0.26	2.41	736.86	2.87
110	abominar	0.91	1.34	410	8	1	2.10	0.02	1.25	47.54	1.69
111	abonament	0.99	2.09	439	9	1	1.85	1.11	3.05	2828.59	3.45
112	abonar	0.97	1.86	417	6	4	1.65	0.85	2.93	2543.35	3.41
113	abonaré	0.96	1.71	407	7	3	1.80	0.01	1.16	47.54	1.69
114	abonat	0.98	1.96	440	6	4	1.60	0.67	2.83	2044.19	3.31
115	abonyec	0.52	0.04	423	7	0	2.65	0.01	0.86	11.89	1.11
116	abonyegadura	0.76	0.69	425	12	0	3.65	0.00	0.56	11.89	1.11
117	abonyegar	0.97	1.82	435	9	1	2.15	0.19	2.27	499.16	2.70
118	aborció	0.33	-0.45	415	7	0	2.30	0.01	0.86	23.77	1.39
119	abordable	0.92	1.35	404	9	0	2.65	0.01	1.03	35.65	1.56
120	abordar	0.98	1.89	403	7	2	1.70	4.54	3.66	13120.83	4.12
121	abordatge	0.97	1.82	401	9	0	2.60	1.20	3.08	2733.51	3.44
122	aborigen	0.97	1.76	438	8	0	2.65	0.99	2.99	1770.84	3.25
123	aborronar	0.65	0.39	458	9	1	2.50	0.02	1.25	23.77	1.39
124	abortiu	0.91	1.31	406	7	1	1.90	0.01	0.86	23.77	1.39
125	abotifarrat	0.95	1.65	421	11	1	3.20	0.01	0.86	11.89	1.11
126	abraç	0.64	0.36	421	5	0	1.80	0.05	1.73	130.73	2.12
127	abraçada	1.00	2.44	406	8	2	1.85	14.37	4.16	34156.95	4.53
128	abracadabra	0.83	0.94	415	11	0	3.65	2.74	3.44	5752.25	3.76
129	abraçador	0.91	1.32	412	9	1	2.10	0.05	1.70	71.31	1.86
130	abraçallar	0.30	-0.51	407	10	0	3.30	0.01	1.03	23.77	1.39
131	abraçar	1.00	2.44	417	7	2	1.75	8.86	3.95	24791.72	4.39
132	abraçat	1.00	2.34	419	7	2	1.70	1.69	3.23	5217.43	3.72
133	abrainat	0.25	-0.65	417	8	1	2.10	0.03	1.40	47.54	1.69
134	abrandament	0.77	0.73	428	11	0	2.60	0.02	1.25	59.42	1.78
135	abrandar	0.85	1.01	410	8	1	1.85	0.02	1.25	47.54	1.69
136	abraonada	0.90	1.25	423	9	1	1.95	0.01	0.86	23.77	1.39
137	abraonament	0.89	1.23	434	11	0	2.60	0.01	1.16	47.54	1.69
138	abraonar	0.91	1.33	410	8	1	1.85	0.26	2.41	820.05	2.91
139	abrasador	0.87	1.09	418	9	3	1.85	0.14	2.16	451.62	2.66
140	abrasar	0.75	0.65	397	7	5	1.70	0.07	1.83	106.96	2.03
141	abrasió	0.87	1.09	420	7	2	1.85	0.19	2.27	558.59	2.75
142	abrasir	0.39	-0.27	392	7	3	1.80	0.01	0.86	11.89	1.11
143	abrasiu	0.95	1.60	417	7	2	1.80	0.10	2.00	297.12	2.47
144	abraxas	0.13	-1.13	429	7	0	2.30	0.14	2.16	142.62	2.16
145	abreujament	0.96	1.69	413	11	1	2.50	0.01	1.03	23.77	1.39
146	abreujar	0.99	2.08	427	8	2	1.85	0.13	2.12	404.08	2.61
147	abreviació	0.96	1.73	427	10	0	2.95	0.14	2.15	439.74	2.64
148	abreviar	0.86	1.08	400	8	1	2.00	0.05	1.73	166.39	2.22
149	abreviatura	0.97	1.77	411	11	0	3.70	0.18	2.25	534.82	2.73
150	abric	0.99	2.18	405	5	4	1.65	10.57	4.02	22319.68	4.35
151	abrigall	0.77	0.74	386	8	0	2.25	0.06	1.79	154.50	2.19
152	abrigar	0.99	2.18	408	7	3	1.70	1.16	3.06	3422.83	3.54
153	abril	0.99	2.17	401	5	1	1.80	28.63	4.46	56131.97	4.75
154	abrilejar	0.41	-0.22	390	9	0	3.00	0.00	0.56	11.89	1.11
155	abrillantar	0.87	1.11	415	11	1	2.35	0.08	1.90	225.81	2.36
156	abrinat	0.28	-0.57	413	7	2	1.80	0.03	1.40	23.77	1.39
157	abrivada	0.33	-0.44	449	8	2	1.90	0.03	1.46	59.42	1.78
158	abrivar	0.42	-0.21	422	7	2	1.75	0.00	0.56	11.89	1.11
159	abrivat	0.33	-0.43	417	7	3	1.75	0.01	0.86	23.77	1.39
160	abró	0.26	-0.65	396	4	5	1.65	0.03	1.51	71.31	1.86
161	abrogació	0.36	-0.36	420	9	0	2.75	0.01	0.86	11.89	1.11
162	abrogar	0.31	-0.48	427	7	2	1.90	0.00	0.56	11.89	1.11
163	abròtan	0.18	-0.89	424	7	0	3.00	0.01	1.03	11.89	1.11
164	abrupció	0.60	0.26	463	8	0	2.70	0.01	1.16	47.54	1.69
165	abruptament	0.97	1.78	430	11	0	3.00	0.18	2.25	594.24	2.78
166	abrupte	0.99	2.08	428	7	1	2.70	0.99	3.00	2959.32	3.47
167	abrusador	0.44	-0.15	394	9	1	2.00	0.44	2.64	1331.10	3.13
168	abrusar	0.41	-0.23	436	7	2	1.80	0.01	0.86	23.77	1.39
169	abscés	0.82	0.91	421	6	0	2.20	0.23	2.35	522.93	2.72
170	abscissa	0.69	0.50	415	8	0	2.95	0.01	0.86	23.77	1.39
171	absència	0.99	2.19	423	8	0	2.85	10.22	4.01	29854.65	4.48
172	absent	0.99	2.32	382	6	0	1.80	2.18	3.34	6667.38	3.82
173	absenta	0.98	1.96	394	7	4	1.65	0.54	2.73	831.94	2.92
174	absentar	0.90	1.28	402	8	2	1.85	0.10	2.02	332.78	2.52
175	absentisme	1.00	2.34	435	10	0	3.00	0.62	2.79	1438.06	3.16
176	absentista	0.96	1.74	440	10	0	2.80	0.02	1.33	71.31	1.86
177	àbsida	0.59	0.22	434	6	0	2.15	0.00	0.56	11.89	1.11
178	absidal	0.52	0.05	396	7	0	2.90	0.01	1.03	35.65	1.56
179	absidiola	0.35	-0.38	432	9	0	3.50	0.01	0.86	11.89	1.11
180	absis	0.91	1.29	372	5	0	1.95	0.99	3.00	1937.22	3.29
181	absoldre	0.99	2.18	414	8	2	2.55	0.64	2.81	1877.80	3.27
182	absolta	0.99	2.18	406	7	3	1.75	0.11	2.05	344.66	2.54
183	absolució	1.00	2.34	418	9	0	2.75	1.11	3.05	2959.32	3.47
184	absolut	1.00	2.58	405	7	0	1.85	20.21	4.31	55846.73	4.75
185	absolutament	1.00	2.58	418	12	0	3.90	49.92	4.70	117017.86	5.07
186	absolutisme	1.00	2.58	415	11	0	3.50	0.20	2.30	451.62	2.66
187	absolutista	0.99	2.12	413	11	0	3.45	0.25	2.39	724.97	2.86
188	absolutitzar	0.76	0.71	430	12	0	4.25	0.01	0.86	23.77	1.39
189	absorbència	0.83	0.94	412	11	0	3.80	0.02	1.33	47.54	1.69
190	absorbent	0.99	2.19	428	9	1	2.60	1.22	3.09	3648.64	3.56
191	absorbible	0.92	1.37	409	10	0	2.90	0.03	1.46	95.08	1.98
192	absorbidor	0.89	1.22	411	10	0	2.65	0.02	1.33	35.65	1.56
193	absorbir	0.99	2.07	416	8	6	1.60	4.99	3.70	13774.50	4.14
194	absorció	1.00	2.44	432	8	1	2.35	1.43	3.15	3731.83	3.57
195	absort	0.94	1.53	408	6	1	1.85	0.26	2.41	831.94	2.92
196	abstemi	0.98	2.02	412	7	0	2.40	0.25	2.39	653.67	2.82
197	abstenció	1.00	2.58	408	9	0	2.70	3.93	3.60	6845.65	3.84
198	absteniment	0.89	1.23	417	11	0	2.90	0.00	0.56	11.89	1.11
199	abstinència	1.00	2.35	458	11	0	3.45	1.38	3.14	3446.60	3.54
200	abstinent	0.95	1.57	408	9	0	2.65	0.04	1.56	118.85	2.08
201	abstracció	0.99	2.26	424	10	0	2.80	0.94	2.97	2436.39	3.39
202	abstracte	1.00	2.34	421	9	1	2.75	2.01	3.30	5336.28	3.73
203	abstraure	0.88	1.16	427	9	2	2.50	0.04	1.63	142.62	2.16
204	abstret	0.95	1.64	431	7	2	1.80	0.13	2.12	415.97	2.62
205	abstreure	0.96	1.75	423	9	1	2.55	0.10	2.02	344.66	2.54
206	abstrús	0.39	-0.28	418	7	0	2.40	0.03	1.51	83.19	1.93
207	absurd	1.00	2.33	408	6	0	2.20	13.87	4.14	37556.01	4.58
208	absurdament	0.98	1.98	420	11	0	3.40	0.15	2.19	475.39	2.68
209	absurditat	0.95	1.62	416	10	0	3.70	0.47	2.67	1485.60	3.17
210	abuixar	0.27	-0.61	420	7	1	1.90	0.01	1.03	11.89	1.11
211	abúlia	0.56	0.16	434	6	2	1.85	0.05	1.67	83.19	1.93
212	abúlic	0.57	0.18	403	6	1	2.00	0.01	0.86	23.77	1.39
213	abundància	0.98	2.06	398	10	0	3.75	7.11	3.85	18528.42	4.27
214	abundant	1.00	2.33	412	8	0	1.90	6.27	3.80	17946.07	4.25
215	abundantment	0.90	1.25	422	12	0	3.85	0.10	2.02	344.66	2.54
216	abundar	0.89	1.18	427	7	2	1.75	0.05	1.67	154.50	2.19
217	abundor	0.70	0.52	415	7	1	1.95	0.47	2.68	1390.52	3.14
218	abundós	0.83	0.93	422	7	2	2.20	0.19	2.28	511.05	2.71
219	abundosament	0.80	0.83	402	12	0	3.60	0.05	1.67	142.62	2.16
220	abura	0.06	-1.53	393	5	8	1.40	0.01	1.03	11.89	1.11
221	aburgesament	0.93	1.43	406	12	0	3.75	0.02	1.25	59.42	1.78
222	aburgesar	0.91	1.30	407	9	1	2.55	0.01	0.86	23.77	1.39
223	abús	0.99	2.07	412	4	5	1.65	3.89	3.59	9757.43	3.99
224	abusador	0.95	1.57	429	8	1	1.80	0.17	2.22	380.31	2.58
225	abusar	0.98	1.97	465	6	3	1.60	4.20	3.62	12181.93	4.09
226	abusiu	0.98	2.02	415	6	3	1.75	0.48	2.68	1497.49	3.18
227	abusivament	0.99	2.06	410	11	0	3.25	0.01	1.16	35.65	1.56
228	abútilon	0.04	-1.68	432	8	0	3.85	0.01	1.16	23.77	1.39
229	abutor	0.09	-1.34	419	6	0	1.95	0.03	1.46	35.65	1.56
230	acabable	0.76	0.71	424	8	1	2.55	0.00	0.56	11.89	1.11
231	acabador	0.69	0.48	442	8	0	1.95	0.00	0.56	11.89	1.11
232	acabalat	0.57	0.18	401	8	2	1.85	0.02	1.25	59.42	1.78
233	acaball	0.60	0.24	436	7	0	2.00	0.00	0.56	11.89	1.11
234	acaballes	0.89	1.20	405	9	0	2.50	1.44	3.16	4540.00	3.66
235	acabament	0.97	1.80	414	9	2	1.90	0.83	2.92	2567.12	3.41
236	acabar	0.99	2.33	395	6	11	1.25	198.84	5.30	372862.22	5.57
237	acabat	1.00	2.44	435	6	8	1.45	280.23	5.45	480122.65	5.68
238	acaçar	0.33	-0.43	427	6	6	1.65	0.02	1.25	35.65	1.56
239	acàcia	0.95	1.61	427	6	3	1.80	0.75	2.88	1663.87	3.22
240	acadèmia	1.00	2.44	405	8	1	2.65	14.87	4.17	26752.71	4.43
241	acadèmic	1.00	2.58	422	8	1	2.70	2.79	3.45	7891.52	3.90
242	academicisme	0.87	1.10	396	12	0	4.25	0.03	1.51	106.96	2.03
243	academicista	0.78	0.76	398	12	0	4.40	0.02	1.25	59.42	1.78
244	acalar	0.43	-0.17	429	6	10	1.40	0.01	1.03	23.77	1.39
245	acalorada	0.97	1.83	419	9	0	2.10	0.24	2.39	796.28	2.90
246	acalorament	0.95	1.60	400	11	0	2.55	0.03	1.40	83.19	1.93
247	acalorar	0.94	1.52	405	8	2	1.85	0.02	1.33	59.42	1.78
248	acalorat	0.98	1.91	433	8	2	1.75	0.23	2.35	724.97	2.86
249	acampada	0.99	2.25	405	8	1	1.90	3.48	3.54	6607.96	3.82
250	acampador	0.68	0.46	419	9	0	2.55	0.04	1.63	47.54	1.69
251	acampament	0.70	0.51	421	10	0	2.50	0.01	1.03	35.65	1.56
252	acampanat	0.99	2.06	402	9	0	2.20	0.01	1.16	35.65	1.56
253	acampar	0.99	2.08	428	7	2	1.65	2.61	3.42	6191.99	3.79
254	acanalar	0.79	0.79	368	8	1	2.30	0.01	0.86	23.77	1.39
255	acanalat	0.81	0.87	406	8	2	2.15	0.05	1.67	154.50	2.19
256	acanar	0.39	-0.27	411	6	10	1.35	0.02	1.25	59.42	1.78
257	acanissar	0.34	-0.42	397	9	0	2.60	0.01	1.16	11.89	1.11
258	acant	0.31	-0.50	406	5	4	1.40	0.06	1.79	154.50	2.19
259	acantonament	0.75	0.67	452	12	0	3.10	0.02	1.33	59.42	1.78
260	acantonar	0.83	0.96	418	9	0	2.25	0.00	0.56	11.89	1.11
261	acaparador	0.96	1.66	436	10	0	2.35	0.14	2.14	392.20	2.60
262	acaparament	0.95	1.61	425	11	0	2.70	0.06	1.76	142.62	2.16
263	acaparar	0.95	1.57	412	8	1	1.75	0.73	2.86	2341.31	3.37
264	acaptar	0.32	-0.46	407	7	1	1.80	0.00	0.56	11.89	1.11
265	acapte	0.23	-0.74	420	6	1	1.80	0.00	0.56	11.89	1.11
266	acaramel·lar	0.89	1.20	416	12	1	2.90	0.01	1.03	35.65	1.56
267	acaramel·lat	0.94	1.50	431	12	1	2.85	0.04	1.60	106.96	2.03
268	acarament	0.81	0.87	416	9	4	1.70	0.18	2.25	475.39	2.68
269	acaramullar	0.58	0.21	448	11	0	3.45	0.02	1.33	23.77	1.39
270	acarar	0.69	0.48	404	6	11	1.35	0.07	1.83	213.93	2.33
271	acariciador	0.86	1.05	408	11	0	2.85	0.01	0.86	23.77	1.39
272	acariciar	0.92	1.38	438	9	1	1.85	1.50	3.18	4183.45	3.62
273	acaronament	0.98	2.03	422	11	0	2.55	0.00	0.56	11.89	1.11
274	acaronar	0.98	1.90	413	8	1	1.80	0.83	2.92	2507.70	3.40
275	àcars	0.99	2.25	412	5	2	1.80	0.76	2.88	1473.72	3.17
276	acatament	0.94	1.53	413	9	3	1.85	0.05	1.73	166.39	2.22
277	acatar	0.96	1.66	411	6	9	1.35	0.93	2.97	2685.97	3.43
278	acaule	0.06	-1.50	385	6	0	1.90	0.00	0.56	11.89	1.11
279	accadi	0.17	-0.95	404	6	1	1.85	0.01	1.03	35.65	1.56
280	accedir	1.00	2.58	396	7	4	1.70	20.74	4.32	52542.76	4.72
281	acceleració	1.00	2.34	427	11	0	2.95	2.34	3.37	5502.67	3.74
282	accelerador	1.00	2.44	418	11	0	2.60	3.39	3.53	8485.76	3.93
283	accelerament	0.87	1.12	399	12	0	3.20	0.02	1.25	59.42	1.78
284	accelerant	0.99	2.14	449	10	0	2.30	0.88	2.94	2662.20	3.43
285	accelerar	1.00	2.58	408	9	1	1.80	5.31	3.73	15747.38	4.20
286	accent	1.00	2.33	413	6	2	1.85	57.23	4.76	53671.81	4.73
287	accentuació	0.99	2.14	439	11	0	2.90	0.03	1.46	95.08	1.98
288	accentuar	1.00	2.44	406	9	1	1.80	0.72	2.86	2281.88	3.36
289	accepció	0.87	1.10	412	8	0	2.55	0.16	2.20	463.51	2.67
290	acceptable	1.00	2.44	427	10	0	2.80	2.88	3.46	8461.99	3.93
291	acceptació	0.99	2.19	428	10	0	2.80	3.03	3.48	9044.34	3.96
292	acceptador	0.87	1.11	433	10	0	2.80	0.01	1.16	23.77	1.39
293	acceptant	0.99	2.25	411	9	0	2.25	1.93	3.29	6144.45	3.79
294	acceptar	1.00	2.58	434	8	2	1.70	45.92	4.66	111325.04	5.05
295	accepte	0.69	0.49	419	7	4	1.55	0.08	1.92	190.16	2.28
296	accés	0.99	2.27	447	5	2	1.90	35.29	4.55	78927.04	4.90
297	accessible	1.00	2.44	409	10	0	3.50	3.09	3.49	9305.81	3.97
298	accessió	0.49	-0.03	416	8	0	2.45	0.02	1.25	47.54	1.69
299	accèssit	0.85	1.04	399	8	0	3.40	0.06	1.79	154.50	2.19
300	accessori	1.00	2.44	413	9	0	2.70	1.39	3.14	3137.59	3.50
301	acci	0.09	-1.29	412	4	2	1.80	0.04	1.56	83.19	1.93
302	accident	1.00	2.44	422	8	1	1.95	65.66	4.82	107961.64	5.03
303	accidental	0.99	2.14	443	10	3	1.85	1.81	3.26	5217.43	3.72
304	accidentar	0.98	1.95	428	10	2	2.05	0.07	1.86	225.81	2.36
305	accidentat	1.00	2.34	422	10	2	1.95	2.23	3.35	6370.26	3.80
306	accídia	0.26	-0.64	409	7	2	2.20	0.02	1.25	35.65	1.56
307	acció	1.00	2.58	396	5	2	1.80	75.67	4.88	150877.69	5.18
308	accionament	0.95	1.61	403	11	0	2.70	0.04	1.56	95.08	1.98
309	accionar	0.99	2.08	427	8	1	1.80	0.40	2.60	1224.14	3.09
310	accionariat	0.87	1.10	414	11	1	2.65	0.19	2.29	522.93	2.72
311	accionat	0.97	1.78	429	8	1	1.80	0.22	2.33	653.67	2.82
312	accionista	1.00	2.34	428	10	0	2.95	1.57	3.20	4349.84	3.64
313	accipítrids	0.17	-0.95	422	11	0	4.85	0.01	1.16	23.77	1.39
314	acer	0.96	1.65	404	4	9	1.10	18.22	4.26	30817.32	4.49
315	acerat	0.76	0.70	420	6	4	1.55	0.01	1.03	35.65	1.56
316	acerb	0.50	0.00	433	5	4	1.70	0.03	1.40	23.77	1.39
317	acereria	0.48	-0.06	442	8	0	2.75	0.12	2.07	213.93	2.33
318	acèrrim	0.86	1.05	444	7	0	2.60	0.15	2.19	439.74	2.64
319	acèrrimament	0.76	0.71	417	12	0	3.80	0.00	0.56	11.89	1.11
320	acetabulària	0.26	-0.65	407	12	0	4.90	0.01	1.16	35.65	1.56
321	acetat	0.83	0.95	416	6	3	1.75	0.12	2.06	285.24	2.46
322	acètic	0.82	0.90	408	6	0	1.85	0.27	2.44	653.67	2.82
323	acetil	0.81	0.85	407	6	0	2.05	0.01	1.16	47.54	1.69
324	acetilcolina	0.56	0.16	406	12	0	5.00	0.05	1.67	71.31	1.86
325	acetilè	0.89	1.22	419	7	0	2.80	0.07	1.81	213.93	2.33
326	acetona	0.96	1.66	430	7	0	2.05	0.15	2.17	415.97	2.62
327	ací	0.89	1.23	405	3	7	1.55	5.40	3.73	6358.38	3.80
328	àcid	1.00	2.34	428	4	5	1.60	11.77	4.07	22343.45	4.35
329	acidar	0.51	0.02	412	6	2	1.80	0.00	0.56	11.89	1.11
330	acidesa	0.99	2.07	416	7	2	2.00	4.06	3.61	9222.61	3.97
331	acidificació	0.83	0.94	410	12	0	2.90	0.10	1.99	213.93	2.33
332	acidificant	0.79	0.78	419	11	0	2.75	0.01	1.16	35.65	1.56
333	acidificar	0.80	0.83	433	10	0	2.70	0.03	1.46	95.08	1.98
334	acidosi	0.71	0.55	421	7	0	2.80	0.07	1.83	130.73	2.12
335	acidòtic	0.44	-0.15	411	8	0	2.90	0.01	0.86	23.77	1.39
336	acídul	0.42	-0.20	416	6	0	2.85	0.00	0.56	11.89	1.11
337	acidular	0.70	0.52	425	8	1	2.40	0.02	1.25	35.65	1.56
338	acidúria	0.47	-0.08	406	8	0	2.95	0.00	0.56	11.89	1.11
